stop_id,stop_name,stop_lat,stop_lon
1184,FAIRVIEW-BAKER,33.680045,-117.907964
1185,FAIRVIEW-ADAMS,33.675094,-117.908007
1186,FAIRVIEW-ARLINGTON,33.669952,-117.907968
1187,FAIRVIEW-MERRIMAC,33.667843,-117.90794
1188,FAIRVIEW-FAIR,33.663426,-117.907867
1189,FAIRVIEW-LOYOLA,33.660717,-117.907866
1192,HARBOR-BERNARD,33.645006,-117.918899
1194,HARBOR-BAY,33.649326,-117.918913
1195,HARBOR-VICTORIA,33.653493,-117.919
1196,HARBOR-WILSON,33.657499,-117.91899
1197,HARBOR-ENT 2300 HARBOR CENTER,33.660162,-117.91903
1198,HARBOR-FAIR,33.662946,-117.919016
1200,HARBOR-PETERSON,33.67004,-117.919066
1201,HARBOR-ADAMS,33.674045,-117.919126
1202,HARBOR-PONDEROSA,33.675917,-117.919136
1203,HARBOR-BAKER,33.679727,-117.91912
1204,HARBOR-NUTMEG,33.681692,-117.919138
1205,HARBOR-GISLER,33.685742,-117.919233
1206,HARBOR-SOUTH COAST,33.692329,-117.919261
1207,HARBOR AND MACARTHUR,33.701596,-117.919763
1208,HARBOR-SCENIC,33.698149,-117.919752
1209,HARBOR-SUNFLOWER,33.696009,-117.919725
1210,HARBOR-LAW COURT,33.692939,-117.919679
1211,HARBOR-GISLER,33.685823,-117.919623
1212,HARBOR-NUTMEG,33.681628,-117.919581
1213,HARBOR-BAKER,33.678834,-117.919529
1214,HARBOR-PONDEROSA,33.675424,-117.919477
1215,HARBOR-ADAMS,33.671695,-117.919486
1217,HARBOR-MERRIMAC,33.667789,-117.919441
1218,HARBOR-FAIR,33.662638,-117.919429
1219,HARBOR-ENT 2300 HARBOR CENTER,33.659321,-117.919402
1220,HARBOR-WILSON,33.65542,-117.919325
1221,HARBOR-VICTORIA,33.653157,-117.919243
1222,HARBOR-BAY,33.648641,-117.919212
1223,HARBOR-FORD,33.646093,-117.919209
1224,HARBOR-19TH,33.64282,-117.91915
1230,MACARTHUR-HYLAND,33.701836,-117.928226
1231,MACARTHUR-HYLAND,33.701807,-117.925114
1232,MACARTHUR-CRODDY,33.701893,-117.92238
1233,MAIN-SUNFLOWER,33.693852,-117.868338
1234,NEWPORT-17TH,33.636997,-117.921717
1236,NEWPORT-BROADWAY,33.642024,-117.917646
1237,NEWPORT-19TH,33.643961,-117.915736
1239,NEWPORT-BAY,33.647183,-117.91252
1240,NEWPORT-21ST,33.649447,-117.910269
1241,NEWPORT-22ND,33.651159,-117.908576
1242,NEWPORT-23RD,33.654293,-117.905491
1243,NEWPORT-WILSON,33.656496,-117.903297
1244,NEWPORT-MONTE VISTA,33.660401,-117.899424
1245,NEWPORT-FAIR,33.663119,-117.898621
1246,NEWPORT-VANGUARD,33.657552,-117.90411
1247,NEWPORT-FAIRVIEW,33.653092,-117.908053
1248,NEWPORT-VICTORIA,33.651507,-117.909591
1249,NEWPORT-BAY,33.648907,-117.912237
1250,NEWPORT-FORD,33.645444,-117.915316
1251,NEWPORT-19TH,33.642696,-117.917498
1252,NEWPORT-18TH,33.640261,-117.919913
1290,PLACENTIA-16TH,33.632816,-117.931779
1291,PLACENTIA-17TH,33.636787,-117.93182
1292,PLACENTIA-18TH,33.639549,-117.93187
1293,PLACENTIA-19TH,33.642442,-117.931914
1294,PLACENTIA-20TH,33.646834,-117.931941
1295,PLACENTIA-VICTORIA,33.651816,-117.932011
1296,PLACENTIA-WILSON,33.655006,-117.932273
1297,PLACENTIA-VICTORIA,33.651428,-117.932213
1298,PLACENTIA-20TH,33.646507,-117.932162
1299,PLACENTIA-19TH,33.642605,-117.932117
1300,PLACENTIA-18TH,33.639357,-117.932073
1301,PLACENTIA-17TH,33.635399,-117.932023
1302,PLACENTIA-16TH,33.632154,-117.931977
1314,RED HILL-BRISTOL,33.666851,-117.88166
1315,RED HILL-CLINTON,33.668796,-117.87969
1316,RED HILL-KALMUS,33.67271,-117.878392
1317,RED HILL-FISCHER,33.674906,-117.878394
1318,RED HILL-BAKER,33.678106,-117.875587
1319,RED HILL-PAULARINO,33.679559,-117.874141
1320,RED HILL-MCCORMICK,33.681623,-117.872089
1321,RED HILL-AIRPORT LOOP,33.684827,-117.86892
1322,RED HILL-PULLMAN,33.684288,-117.869794
1323,RED HILL-MCCORMICK,33.681123,-117.872928
1324,RED HILL-PAULARINO,33.679618,-117.874491
1325,RED HILL-BAKER,33.677619,-117.876472
1326,RED HILL-FISCHER,33.675084,-117.878627
1327,RED HILL-KALMUS,33.671555,-117.87864
1328,RED HILL-CLINTON,33.668749,-117.88012
1334,SUNFLOWER-FAIRVIEW,33.695662,-117.906954
1335,SUNFLOWER-WIMBLEDON,33.69617,-117.903685
1336,SUNFLOWER-SMALLEY,33.69623,-117.900375
1337,SUNFLOWER-FUCHSIA,33.696237,-117.897992
1338,SUNFLOWER-BEAR,33.694052,-117.892801
1339,SUNFLOWER-PLAZA,33.694065,-117.889594
1340,SUNFLOWER-PARK CENTER,33.69401,-117.883844
1341,SUNFLOWER-AVE OF THE ARTS,33.694015,-117.880597
1342,SUNFLOWER-SAKIOKA,33.693928,-117.876487
1343,SUNFLOWER-ROSS,33.693969,-117.873342
1344,SUNFLOWER-TIMBER,33.693995,-117.870455
1348,VICTORIA-CANYON,33.652206,-117.944398
1349,VICTORIA-AMERICAN,33.652395,-117.940683
1350,VICTORIA-NATIONAL,33.652465,-117.936748
1363,VICTORIA-PLACENTIA,33.65269,-117.932584
1364,VICTORIA-NATIONAL,33.652786,-117.937104
1365,VICTORIA-AMERICAN,33.652553,-117.940815
1366,VICTORIA-PACIFIC,33.651865,-117.947204
1367,WILSON-PLACENTIA,33.655975,-117.931605
1368,WILSON-POMONA,33.656002,-117.928564
1369,WILSON-ANAHEIM,33.656069,-117.92339
1370,WILSON-HARBOR,33.656052,-117.920744
1371,WILSON-HARBOR,33.65608,-117.917923
1373,WILSON-COLGATE,33.656187,-117.911271
1375,WILSON-FORDHAM,33.656253,-117.914559
1376,WILSON-COLLEGE,33.656339,-117.916779
1377,WILSON-HARBOR,33.656237,-117.919894
1378,WILSON-MAPLE,33.656266,-117.922796
1379,WILSON-MEYER,33.656253,-117.924781
1380,WILSON-POMONA,33.656202,-117.928183
1385,BALL-BLOOMFIELD,33.817393,-118.062661
1386,BALL-DELANO,33.817374,-118.057753
1387,BALL-DENNI,33.816751,-118.054052
1388,BALL-LARWIN,33.816739,-118.048085
1389,BALL-MOODY,33.816774,-118.045027
1390,BALL-SAINT CHARLES,33.816745,-118.041155
1391,BALL-WALKER,33.816869,-118.036491
1392,BALL-MYRA,33.816921,-118.031576
1393,BALL-HOLDER,33.817261,-118.020134
1394,BALL-JUANITA,33.817266,-118.024519
1395,BALL-VALLEY VIEW,33.817182,-118.029141
1396,BALL-CABRILLO,33.81714,-118.032746
1397,BALL-WALKER,33.817101,-118.0372
1398,BALL-GRINDLAY,33.817113,-118.041486
1399,BALL-MOODY,33.817034,-118.046241
1400,BALL-LARWIN,33.816977,-118.048864
1401,BALL-SORRENTO,33.816956,-118.052446
1402,BALL-DENNI,33.817097,-118.055024
1403,BALL-VIA LARGO,33.817747,-118.059117
1412,KATELLA-WARLAND,33.802802,-118.033884
1413,KATELLA-VALLEY VIEW,33.802719,-118.02771
1414,KATELLA-HOPE,33.802764,-118.023615
1415,KATELLA-HOLDER,33.80274,-118.019325
1416,KATELLA-MERIDIAN,33.802727,-118.014008
1417,KATELLA-KNOTT,33.803011,-118.011664
1418,KATELLA-MERIDIAN,33.803032,-118.014649
1419,KATELLA-HOLDER,33.803056,-118.020353
1420,KATELLA-HOPE,33.803074,-118.024589
1421,KATELLA-VALLEY VIEW,33.803122,-118.028989
1422,KATELLA-DOUGLAS,33.803112,-118.033993
1423,KATELLA-WALKER,33.803109,-118.037759
1424,KATELLA-WINNERS CIRCLE,33.803153,-118.040432
1425,KATELLA-SIBONEY,33.803144,-118.043278
1426,KATELLA-ENTERPRISE,33.803185,-118.050647
1427,KNOTT-CERRITOS,33.809573,-118.010871
1428,KNOTT-JONATHON,33.806405,-118.010843
1429,KNOTT-KATELLA,33.802241,-118.011143
1430,KNOTT-LONGFORD,33.799594,-118.011244
1431,KNOTT-ORANGEWOOD,33.795252,-118.011246
1432,KNOTT-LEILANI,33.793403,-118.011267
1433,LINCOLN-BLOOMFIELD,33.831467,-118.060776
1434,LINCOLN-LINCOLN PLAZA,33.831536,-118.057414
1435,LINCOLN-DENNI,33.831509,-118.055051
1436,LINCOLN-SUMNER,33.831547,-118.05065
1437,LINCOLN-MOODY,33.83157,-118.046502
1438,LINCOLN-GRINDLAY,33.831603,-118.042082
1439,LINCOLN-WALKER,33.831598,-118.036839
1440,LINCOLN-HOME DEPOT,33.831581,-118.031268
1441,LINCOLN-LOS ALTOS,33.831873,-118.032523
1442,LINCOLN-WALKER,33.831849,-118.037733
1443,LINCOLN-GRINDLAY,33.831838,-118.041224
1444,LINCOLN-MOODY,33.831801,-118.046292
1445,LINCOLN-SUMNER,33.83177,-118.050161
1446,LINCOLN-DENNI,33.831832,-118.05532
1448,LINCOLN-BLOOMFIELD,33.831759,-118.061198
1453,VALLEY VIEW-NOUMEA,33.793121,-118.02835
1454,VALLEY VIEW-ORANGEWOOD,33.796031,-118.028308
1455,VALLEY VIEW-PHYLISS,33.800088,-118.028149
1456,VALLEY VIEW-KATELLA,33.803414,-118.028152
1457,VALLEY VIEW-CHIP,33.80633,-118.028175
1458,VALLEY VIEW-BALL,33.817511,-118.028084
1459,VALLEY VIEW-FRED,33.820114,-118.028108
1460,VALLEY VIEW-ORANGE,33.824749,-118.028176
1461,VALLEY VIEW-LAKESHORE,33.828847,-118.028161
1462,VALLEY VIEW-LAKESHORE,33.82813,-118.028535
1463,VALLEY VIEW-ORANGE,33.823742,-118.028482
1464,VALLEY VIEW-FRED,33.819883,-118.028459
1465,VALLEY VIEW-BALL,33.81658,-118.028418
1466,VALLEY VIEW-BELLE,33.814602,-118.028404
1467,VALLEY VIEW-CATHY,33.81215,-118.028446
1468,VALLEY VIEW-CERRITOS,33.810172,-118.028343
1469,VALLEY VIEW-KATELLA,33.802484,-118.028577
1470,VALLEY VIEW-ORANGEWOOD,33.795977,-118.028681
1471,VALLEY VIEW-NOUMEA,33.793387,-118.028707
1501,PACIFIC COAST-DEL OBISPO,33.464948,-117.686595
1503,PACIFIC COAST-ALCAZAR,33.467001,-117.694424
1506,PACIFIC COAST-AMBER LANTERN,33.466458,-117.702592
1507,PACIFIC COAST-RUBY LANTERN,33.465929,-117.705262
1508,PACIFIC COAST-SELVA,33.470449,-117.712859
1509,PACIFIC COAST-NIGUEL,33.476406,-117.716891
1510,PACIFIC COAST-MONARCH BAY PLAZA,33.485449,-117.725425
1511,PACIFIC COAST-CROWN VALLEY,33.487316,-117.727602
1512,PACIFIC COAST-VIA MENTONE,33.490338,-117.731103
1513,PACIFIC COAST-MONARCH BAY,33.486505,-117.726944
1514,PACIFIC COAST-RITZ CARLTON,33.478489,-117.718627
1515,PACIFIC COAST-RITZ CARLTON,33.475485,-117.716651
1516,PACIFIC COAST-SELVA,33.470013,-117.713029
1517,PACIFIC COAST-CRYSTAL LANTERN,33.465605,-117.690148
1518,PACIFIC COAST-DANA POINT HARBOR,33.464565,-117.686351
1528,DANA POINT HARBOR-PARK LANTERN,33.464267,-117.688511
1530,DEL OBISPO-COMMUNITY CENTER,33.467298,-117.685142
1531,DEL OBISPO-QUAIL RUN,33.470793,-117.683783
1532,DEL OBISPO-LIGHTHOUSE,33.473286,-117.68422
1533,DEL OBISPO-STONEHILL,33.47513,-117.684821
1534,DEL OBISPO-GOLDEN SPRING,33.477528,-117.68532
1535,DEL OBISPO-BLUE SAIL,33.479464,-117.68525
1536,DEL OBISPO-WESTBORNE,33.484894,-117.684196
